"id";"user_id";"kato_2";"kato_2_name";"kato_4";"kato_4_name";"kato_6";"kato_6_name";"form_year";"labour_population";"labour_constant_population";"labour_labour";"labour_government_workers";"labour_private_labour";"labour_private_ogorod";"labour_total_econ_inactive_population";"labour_unemployed";"labour_household_size";"labour_average_income_family";"house_total_dvor";"house_zaselen_dvor";"dh_count";"dx_number_ogorodov";"dx_cx_land";"dx_pashnya";"dx_mnogoletnie";"dx_zelej";"dx_pastbishe";"dx_senokosy";"dx_ogorody";"dx_sad";"dx_urojai";"dx_cucumber";"dx_tomato";"dx_potato";"dx_kapusta";"dx_carrot";"dx_svekla";"dx_sweet_peper";"dx_baklajan";"dx_kabachek";"dx_onion";"dx_chesnok";"dx_redis";"dx_korm";"dx_fruits";"kx_amount";"kz_cx_land";"kx_pansya";"kx_mnogoletnie";"kx_zelej";"kx_pastbishe";"kx_senokosy";"kx_urojai";"kx_zerno";"kx_rice";"kx_maslichnye";"kx_korm";"kx_mnogoletnie_derevo";"kz_cx_land_reserve";"kx_pansya_reserve";"kx_mnogoletnie_reserve";"kx_zelej_reserve";"kx_pastbishe_reserve";"kx_senokosy_reserve";"infrastructure_polivochnaya_sistema_";"infrastructure_polivochnaya_sistema_isused";"infrastructure_polivy";"infrastructure_mtm";"infrastructure_mtm_isused";"infrastructure_slad";"infrastructure_slad_isused";"infrastructure_garage";"infrastructure_garage_isused";"infrastructure_cycsterny";"infrastructure_cycsterny_isused";"infrastructure_transformator";"infrastructure_transformator_isused";"specialization_rastenivodstvo";"animal_dvor";"animal_skot_bird";"animal_cx_land";"animal_pashnya";"animal_mnogolet";"animal_zalej";"animal_pastbisha";"animal_senokos";"animal_ogorod";"animal_sad";"animal_krs_milk";"animal_krs_meat";"animal_sheep";"animal_kozel";"animal_horse";"animal_camel";"animal_pig";"animal_chicken";"animal_gusi";"animal_duck";"animal_induk";"animal_mik_total";"animal_milk_cow";"animal_milkrate_cow";"animal_mil_kozel";"animal_milrate_kozel";"animal_milk_horse";"animal_milkrate_horse";"animal_milk_camel";"animal_milkrate_camel";"animal_meat_total";"animal_meat_cow";"animal_meat_sheep";"animal_meat_horse";"animal_meat_pig";"animal_meat_camel";"animal_meat_chicken";"animal_meat_duck";"animal_meat_gusi";"animal_egg_total";"animal_egg_chicken";"animal_egg_gusi";"animal_egg_perepel";"animal_transformator";"animal_transformator_isused";"specialization_animal";"noncx_sto";"noncx_sto_needs";"noncx_kindergarden";"noncx_kindergarden_needs";"noncx_souvenier";"noncx_souvenier_needs";"noncx_pc_service";"noncx_pc_service_needs";"noncx_store";"noncx_store_needs";"noncx_remont_bytovoi_tech";"noncx_remont_bytovoi_tech_needs";"noncx_metal";"noncx_metal_needs";"noncx_accounting";"noncx_accounting_needs";"noncx_photo";"noncx_photo_needs";"noncx_turism";"noncx_turism_needs";"noncx_rent";"noncx_rent_needs";"noncx_cargo";"noncx_cargo_needs";"noncx_massage";"noncx_massage_needs";"noncx_foodcourt";"noncx_foodcourt_needs";"noncx_cleaning";"noncx_cleaning_needs";"noncx_beuty";"noncx_beuty_needs";"noncx_carwash";"noncx_carwash_needs";"noncx_atelie";"noncx_atelie_needs";"noncx_others";"noncx_others_needs";"noncx_stroika";"noncx_stroika_needs";"noncx_mebel";"noncx_mebel_needs";"noncx_stroi_material";"noncx_stroi_material_needs";"noncx_svarka";"noncx_svarka_needs";"noncx_woodworking";"noncx_woodworking_needs";"noncx_others_uslugi";"noncx_others_needs_uslugi";"manufacture_milk";"manufacture_milk_needs";"manufacture_meat";"manufacture_meat_needs";"manufacture_vegetables";"manufacture_vegetables_needs";"manufacture_mayo";"manufacture_mayo_needs";"manufacture_fish";"manufacture_fish_needs";"manufacture_choco";"manufacture_choco_needs";"manufacture_beer";"manufacture_beer_needs";"manufacture_vodka";"manufacture_vodka_needs";"manufacture_honey";"manufacture_honey_needs";"manufacture_polufabricat";"manufacture_polufabricat_needs";"manufacture_bread";"manufacture_bread_needs";"manufacture_others";"manufacture_others_needs";"credit_amount";"credit_total";"credit_average_total";"credit_zalog";"modified_date";"creation_date"
3;1257;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354031";ЗЕЛЕНОБАЛКОВСКИЙ С.О.;"";4446;4145;2659;1365;110;41;828;21;5;120000;734;80;0;0;128230.00;103030.00;0.00;25200.00;0.00;0.00;0.00;0.00;10795.59;0.01;0.00;10795.52;0.02;0.02;0.01;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;21;10400.14;9208.99;0.00;50.18;1140.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1000.00;500.00;0.00;0.00;500.00;0.00;1;1;0.00;1;1;0;1;1;1;1;1;1;1;"0.0";1158;471;128230.00;103030.00;0.00;25200.00;0.00;0.00;0.00;0.00;1787;16;890;238;810;0;299;2889;222;29;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;101.65;52.50;0.00;34.00;15.00;0.00;0.15;0.00;0.00;20000;20000;0;0;1;1;"0.0";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6;61500000;6916667;6.00;;
4;1260;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354037";УМУТКЕРСКИЙ С.О.;"";921;921;186;164;4;18;732;3;3;120000;185;52;185;52;286990.00;286300.00;0.00;690.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;42;37949.26;9075.80;0.00;1848.37;26349.38;675.70;600.00;600.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0.00;0;0;0;0;0;0;0;0;1;1;"0.0";185;119;286990.00;286300.00;0.00;690.00;0.00;0.00;0.00;0.00;1939;0;1513;709;1328;0;0;1634;140;17;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;1;1;"0.0";0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1;8600000;8600000;1.00;;
5;1261;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354039";КЫЗЫЛКАИНСКИЙ С.О.;"";1217;1217;703;95;29;198;254;40;5;250000;335;335;335;180;117710.00;32814.00;2640.00;82146.00;0.00;0.00;110.00;0.00;2.05;0.70;0.60;0.00;0.50;0.22;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19;14809.00;5903.00;0.00;0.00;8766.00;140.00;16030.00;16030.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0.00;0;0;0;0;0;0;0;0;0;0;"0.0";335;180;117710.00;32814.00;2640.00;82146.00;0.00;0.00;110.00;0.00;1282;0;1800;566;162;0;12;1129;18;9;9;1.00;1.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;"0.0";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7;49000000;7000000;7.00;;
6;1265;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354047"; С.О.КЕРНЕЙ;"";2035;2035;1195;0;271;271;840;11;5;150000;406;298;185;52;682200.00;665300.00;3300.00;13600.00;0.00;0.00;0.00;0.00;14.37;10.33;1.20;0.00;0.48;1.24;0.97;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.00;54;44016.71;17193.01;11.48;10.43;24866.00;1935.79;3421.05;3421.00;0.00;0.00;0.00;0.05;52.00;24.00;0.00;0.00;52.00;52.00;0;0;0.00;0;0;0;0;0;0;0;0;1;1;"0.0";406;298;682200.00;665300.00;3300.00;13600.00;0.00;0.00;0.00;0.00;1845;3937;5676;1040;2710;0;21;3124;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6130.80;100.00;30.80;6000.00;0.00;0.00;0.00;0.00;0.00;1413;1413;0;0;1;1;"0.0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;;
7;1266;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354051";МОЛОДЕЦКАЯ С.А.;"";1063;1030;454;265;27;162;276;5;4;100000;228;204;228;99;126070.00;65620.00;1651.00;58799.00;0.00;0.00;0.00;0.00;12601.26;0.26;0.50;12600.00;0.30;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13;2575.46;1872.00;0.00;173.80;529.66;0.00;2438.00;2175.00;0.00;0.00;158.00;105.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;0.00;0;1;0;1;1;1;1;1;1;1;"0.0";228;99;126070.00;65620.00;1651.00;58799.00;0.00;0.00;0.00;0.00;642;0;571;160;107;0;20;853;26;33;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.46;12.00;0.03;10.00;0.00;0.20;0.20;0.03;0.00;0;0;0;0;1;1;"0.0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;;
8;1267;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354053";КОКПЕКТИНСКИЙ С.О.;"";5331;4965;3118;260;223;84;957;21;6;85000;1226;1220;287;113;37893.00;12875.00;3600.00;16.00;12500.00;8000.00;902.00;0.00;278.66;4.10;8.50;257.59;1.56;1.20;1.49;0.10;0.12;0.00;0.20;0.00;0.00;3.60;0.20;42;12932.80;4583.50;29.00;330.00;7603.30;387.00;4200.00;1600.00;0.00;0.00;1000.00;1600.00;12903.80;4583.50;0.00;330.00;7603.30;387.00;1;1;30.00;0;0;0;1;0;1;1;1;1;1;"0.0";1226;399;37893.00;12875.00;3600.00;16.00;12500.00;8000.00;902.00;0.00;2872;149;3728;836;893;0;83;1183;42;13;0;2.96;2.96;100.00;0.00;0.00;0.00;0.00;0.00;0.00;47.00;30.00;3.00;13.00;1.00;0.00;0.00;0.00;0.00;2920;2920;0;0;1;1;"0.0";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5;25600000;5120000;5.00;;
9;1268;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354055";ТОГУЗКУДУКСКИЙ С.О.;"";1371;1371;660;425;77;158;269;0;5;190000;337;287;287;194;363426.60;195895.60;4997.00;162534.00;0.00;0.00;0.00;0.00;1.15;0.34;0.40;0.00;0.13;0.13;0.12;0.00;0.01;0.01;0.01;0.02;0.00;0.00;0.00;126;26288.78;12402.29;0.00;588.60;13284.89;13.00;9065.00;7316.00;0.00;1323.00;306.00;120.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0.00;0;0;0;0;0;0;0;0;0;0;"0.0";287;194;363426.60;195895.60;4997.00;162534.00;0.00;0.00;0.00;0.00;2250;0;3347;829;719;0;0;1011;79;10;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.00;0.00;4.00;10.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;"0.0";0;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;3;24100000;8033333;3.00;;
10;1269;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354057";КАРАЖАРСКИЙ С.О.;"";1640;1300;935;115;100;200;2;2;6;230000;385;385;108;108;176780.00;0.00;0.00;176780.00;0.00;0.00;0.00;0.00;15.82;0.00;0.00;15.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;8;8194.00;1884.00;0.00;200.00;5439.00;671.00;3500.00;3500.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0.00;0;0;0;0;0;0;1;0;1;1;"0.0";499;172;176780.00;0.00;0.00;176780.00;0.00;0.00;0.00;0.00;940;0;852;417;420;0;47;1757;10;16;0;470.50;470.50;100.00;0.00;0.00;0.00;0.00;0.00;0.00;3.01;0.00;2.50;0.01;0.50;0.00;0.00;0.00;0.00;1000;1000;0;0;1;1;"0.0";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;8600000;0;1.00;;
11;1270;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354059";КАРАКУДУКСКАЯ С.А.;"";667;667;333;204;30;99;164;3;4;120000;163;53;154;136;111862.10;66535.00;0.00;45327.10;0.00;0.00;0.00;0.00;142.12;0.01;0.00;142.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;68;33141.34;7059.19;0.00;4227.04;21346.91;508.20;5836.00;5686.00;0.00;150.00;0.00;0.00;2347.00;0.00;0.00;0.00;2347.00;0.00;0;0;0.00;0;0;0;0;0;0;1;1;1;1;"0.0";163;97;111862.10;66535.00;0.00;45327.10;0.00;0.00;0.00;0.00;887;0;594;174;263;0;0;304;16;0;0;501.48;501.48;100.00;0.00;0.00;0.00;0.00;0.00;0.00;10.03;0.00;10.00;0.03;0.00;0.00;0.00;0.00;0.00;2000;2000;0;0;1;1;"0.0";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;;
12;1271;"35";КАРАГАНДИНСКАЯ ОБЛАСТЬ;"3540";БУХАР-ЖЫРАУСКИЙ РАЙОН;"354061";КУШОКЫНСКАЯ П.А.;"";3195;3195;1396;154;44;12;457;154;5;150000;1216;1166;1223;76;403160.40;145749.10;6564.00;250847.30;0.00;0.00;0.00;0.00;73.63;10.66;19.30;12.60;9.95;7.79;5.73;0.34;0.44;0.08;0.07;0.03;0.16;6.48;0.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;0.00;0;1;0;1;0;1;0;1;1;1;"0.0";1223;76;403160.40;145749.10;6564.00;250847.30;0.00;0.00;0.00;0.00;269;269;740;45;251;0;5;610;39;22;11;5.02;4.04;80.35;0.05;0.90;0.94;18.76;0.00;0.00;108.19;17.70;4.44;15.30;70.00;0.00;0.73;0.01;0.01;5430;5430;0;0;1;1;"0.0";1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1;4000000;4000000;1.00;;
