id,user_id,kato_2,kato_2_name,kato_4,kato_4_name,kato_6,kato_6_name,form_year,labour_population,labour_constant_population,labour_labour,labour_government_workers,labour_private_labour,labour_private_ogorod,labour_total_econ_inactive_population,labour_unemployed,labour_household_size,labour_average_income_family,house_total_dvor,house_zaselen_dvor,dh_count,dx_number_ogorodov,dx_cx_land,dx_pashnya,dx_mnogoletnie,dx_zelej,dx_pastbishe,dx_senokosy,dx_ogorody,dx_sad,dx_urojai,dx_cucumber,dx_tomato,dx_potato,dx_kapusta,dx_carrot,dx_svekla,dx_sweet_peper,dx_baklajan,dx_kabachek,dx_onion,dx_chesnok,dx_redis,dx_korm,dx_fruits,kx_amount,kz_cx_land,kx_pansya,kx_mnogoletnie,kx_zelej,kx_pastbishe,kx_senokosy,kx_urojai,kx_zerno,kx_rice,kx_maslichnye,kx_korm,kx_mnogoletnie_derevo,kz_cx_land_reserve,kx_pansya_reserve,kx_mnogoletnie_reserve,kx_zelej_reserve,kx_pastbishe_reserve,kx_senokosy_reserve,infrastructure_polivochnaya_sistema_,infrastructure_polivochnaya_sistema_isused,infrastructure_polivy,infrastructure_mtm,infrastructure_mtm_isused,infrastructure_slad,infrastructure_slad_isused,infrastructure_garage,infrastructure_garage_isused,infrastructure_cycsterny,infrastructure_cycsterny_isused,infrastructure_transformator,infrastructure_transformator_isused,specialization_rastenivodstvo,animal_dvor,animal_skot_bird,animal_cx_land,animal_pashnya,animal_mnogolet,animal_zalej,animal_pastbisha,animal_senokos,animal_ogorod,animal_sad,animal_krs_milk,animal_krs_meat,animal_sheep,animal_kozel,animal_horse,animal_camel,animal_pig,animal_chicken,animal_gusi,animal_duck,animal_induk,animal_mik_total,animal_milk_cow,animal_milkrate_cow,animal_mil_kozel,animal_milrate_kozel,animal_milk_horse,animal_milkrate_horse,animal_milk_camel,animal_milkrate_camel,animal_meat_total,animal_meat_cow,animal_meat_sheep,animal_meat_horse,animal_meat_pig,animal_meat_camel,animal_meat_chicken,animal_meat_duck,animal_meat_gusi,animal_egg_total,animal_egg_chicken,animal_egg_gusi,animal_egg_perepel,animal_transformator,animal_transformator_isused,specialization_animal,noncx_sto,noncx_sto_needs,noncx_kindergarden,noncx_kindergarden_needs,noncx_souvenier,noncx_souvenier_needs,noncx_pc_service,noncx_pc_service_needs,noncx_store,noncx_store_needs,noncx_remont_bytovoi_tech,noncx_remont_bytovoi_tech_needs,noncx_metal,noncx_metal_needs,noncx_accounting,noncx_accounting_needs,noncx_photo,noncx_photo_needs,noncx_turism,noncx_turism_needs,noncx_rent,noncx_rent_needs,noncx_cargo,noncx_cargo_needs,noncx_massage,noncx_massage_needs,noncx_foodcourt,noncx_foodcourt_needs,noncx_cleaning,noncx_cleaning_needs,noncx_beuty,noncx_beuty_needs,noncx_carwash,noncx_carwash_needs,noncx_atelie,noncx_atelie_needs,noncx_others,noncx_others_needs,noncx_stroika,noncx_stroika_needs,noncx_mebel,noncx_mebel_needs,noncx_stroi_material,noncx_stroi_material_needs,noncx_svarka,noncx_svarka_needs,noncx_woodworking,noncx_woodworking_needs,noncx_others_uslugi,noncx_others_needs_uslugi,manufacture_milk,manufacture_milk_needs,manufacture_meat,manufacture_meat_needs,manufacture_vegetables,manufacture_vegetables_needs,manufacture_mayo,manufacture_mayo_needs,manufacture_fish,manufacture_fish_needs,manufacture_choco,manufacture_choco_needs,manufacture_beer,manufacture_beer_needs,manufacture_vodka,manufacture_vodka_needs,manufacture_honey,manufacture_honey_needs,manufacture_polufabricat,manufacture_polufabricat_needs,manufacture_bread,manufacture_bread_needs,manufacture_others,manufacture_others_needs,credit_amount,credit_total,credit_average_total,credit_zalog,plant_factor,animal_factor
1,1257,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354031,ЗЕЛЕНОБАЛКОВСКИЙ С.О.,2023,4446,4145,2659,1365,110,41,828,21,5,120000,734,80,0,0,128230.0,103030.0,0.0,25200.0,0.0,0.0,0.0,0.0,10795.59,0.01,0.0,10795.52,0.02,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,21,10400.14,9208.99,0.0,50.18,1140.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,500.0,0.0,0.0,500.0,0.0,1,1,0.0,1,1,0,1,1,1,1,1,1,1,0.0,1158,471,128230.0,103030.0,0.0,25200.0,0.0,0.0,0.0,0.0,1787,16,890,238,810,0,299,2889,222,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.65,52.5,0.0,34.0,15.0,0.0,0.15,0.0,0.0,20000,20000,0,0,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,61500000,6916667,6.0,11.38,13.77
2,1260,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354037,УМУТКЕРСКИЙ С.О.,2023,921,921,186,164,4,18,732,3,3,120000,185,52,185,52,286990.0,286300.0,0.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,37949.26,9075.8,0.0,1848.37,26349.38,675.7,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.0,185,119,286990.0,286300.0,0.0,690.0,0.0,0.0,0.0,0.0,1939,0,1513,709,1328,0,0,1634,140,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,8600000,8600000,1.0,7.46,11.86
3,1261,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354039,КЫЗЫЛКАИНСКИЙ С.О.,2023,1217,1217,703,95,29,198,254,40,5,250000,335,335,335,180,117710.0,32814.0,2640.0,82146.0,0.0,0.0,110.0,0.0,2.05,0.7,0.6,0.0,0.5,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,14809.0,5903.0,0.0,0.0,8766.0,140.0,16030.0,16030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,335,180,117710.0,32814.0,2640.0,82146.0,0.0,0.0,110.0,0.0,1282,0,1800,566,162,0,12,1129,18,9,9,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,49000000,7000000,7.0,13.39,14.01
4,1265,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354047," С.О.КЕРНЕЙ",2023,2035,2035,1195,0,271,271,840,11,5,150000,406,298,185,52,682200.0,665300.0,3300.0,13600.0,0.0,0.0,0.0,0.0,14.37,10.33,1.2,0.0,0.48,1.24,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,54,44016.71,17193.01,11.48,10.43,24866.0,1935.79,3421.05,3421.0,0.0,0.0,0.0,0.05,52.0,24.0,0.0,0.0,52.0,52.0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0.0,406,298,682200.0,665300.0,3300.0,13600.0,0.0,0.0,0.0,0.0,1845,3937,5676,1040,2710,0,21,3124,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6130.8,100.0,30.8,6000.0,0.0,0.0,0.0,0.0,0.0,1413,1413,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,10.98,14.41
5,1266,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354051,МОЛОДЕЦКАЯ С.А.,2023,1063,1030,454,265,27,162,276,5,4,100000,228,204,228,99,126070.0,65620.0,1651.0,58799.0,0.0,0.0,0.0,0.0,12601.26,0.26,0.5,12600.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2575.46,1872.0,0.0,173.8,529.66,0.0,2438.0,2175.0,0.0,0.0,158.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,1,0,1,1,1,1,1,1,1,0.0,228,99,126070.0,65620.0,1651.0,58799.0,0.0,0.0,0.0,0.0,642,0,571,160,107,0,20,853,26,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.46,12.0,0.03,10.0,0.0,0.2,0.2,0.03,0.0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,13.95,17.2
6,1267,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354053,КОКПЕКТИНСКИЙ С.О.,2023,5331,4965,3118,260,223,84,957,21,6,85000,1226,1220,287,113,37893.0,12875.0,3600.0,16.0,12500.0,8000.0,902.0,0.0,278.66,4.1,8.5,257.59,1.56,1.2,1.49,0.1,0.12,0.0,0.2,0.0,0.0,3.6,0.2,42,12932.8,4583.5,29.0,330.0,7603.3,387.0,4200.0,1600.0,0.0,0.0,1000.0,1600.0,12903.8,4583.5,0.0,330.0,7603.3,387.0,1,1,30.0,0,0,0,1,0,1,1,1,1,1,0.0,1226,399,37893.0,12875.0,3600.0,16.0,12500.0,8000.0,902.0,0.0,2872,149,3728,836,893,0,83,1183,42,13,0,2.96,2.96,100.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,30.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,2920,2920,0,0,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25600000,5120000,5.0,13.51,14.83
7,1268,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354055,ТОГУЗКУДУКСКИЙ С.О.,2023,1371,1371,660,425,77,158,269,0,5,190000,337,287,287,194,363426.6,195895.6,4997.0,162534.0,0.0,0.0,0.0,0.0,1.15,0.34,0.4,0.0,0.13,0.13,0.12,0.0,0.01,0.01,0.01,0.02,0.0,0.0,0.0,126,26288.78,12402.29,0.0,588.6,13284.89,13.0,9065.0,7316.0,0.0,1323.0,306.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,287,194,363426.6,195895.6,4997.0,162534.0,0.0,0.0,0.0,0.0,2250,0,3347,829,719,0,0,1011,79,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3,24100000,8033333,3.0,15.85,16.15
8,1269,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354057,КАРАЖАРСКИЙ С.О.,2023,1640,1300,935,115,100,200,2,2,6,230000,385,385,108,108,176780.0,0.0,0.0,176780.0,0.0,0.0,0.0,0.0,15.82,0.0,0.0,15.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,8,8194.0,1884.0,0.0,200.0,5439.0,671.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,1,1,0.0,499,172,176780.0,0.0,0.0,176780.0,0.0,0.0,0.0,0.0,940,0,852,417,420,0,47,1757,10,16,0,470.5,470.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,2.5,0.01,0.5,0.0,0.0,0.0,0.0,1000,1000,0,0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8600000,0,1.0,8.33,11.47
9,1270,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354059,КАРАКУДУКСКАЯ С.А.,2023,667,667,333,204,30,99,164,3,4,120000,163,53,154,136,111862.1,66535.0,0.0,45327.1,0.0,0.0,0.0,0.0,142.12,0.01,0.0,142.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,33141.34,7059.19,0.0,4227.04,21346.91,508.2,5836.0,5686.0,0.0,150.0,0.0,0.0,2347.0,0.0,0.0,0.0,2347.0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,1,1,0.0,163,97,111862.1,66535.0,0.0,45327.1,0.0,0.0,0.0,0.0,887,0,594,174,263,0,0,304,16,0,0,501.48,501.48,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.03,0.0,10.0,0.03,0.0,0.0,0.0,0.0,0.0,2000,2000,0,0,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,13.0,15.41
10,1271,35,КАРАГАНДИНСКАЯ ОБЛАСТЬ,3540,БУХАР-ЖЫРАУСКИЙ РАЙОН,354061,КУШОКЫНСКАЯ П.А.,2023,3195,3195,1396,154,44,12,457,154,5,150000,1216,1166,1223,76,403160.4,145749.1,6564.0,250847.3,0.0,0.0,0.0,0.0,73.63,10.66,19.3,12.6,9.95,7.79,5.73,0.34,0.44,0.08,0.07,0.03,0.16,6.48,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,1,0,1,0,1,0,1,1,1,0.0,1223,76,403160.4,145749.1,6564.0,250847.3,0.0,0.0,0.0,0.0,269,269,740,45,251,0,5,610,39,22,11,5.02,4.04,80.35,0.05,0.9,0.94,18.76,0.0,0.0,108.19,17.7,4.44,15.3,70.0,0.0,0.73,0.01,0.01,5430,5430,0,0,1,1,0.0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,4000000,4000000,1.0,13.03,12.97
